Hospital Name,State,City/Area,Address
Queens Specialist Hospital,Lagos,Magodo,"3B C.M.D. Road, Magodo"
Fortress Health Consultants,Lagos,Magodo,"No 8 Kasunmu Street, Shangisha-Magodo"
Nimbus Medical Hospital,Lagos,Ogudu,"4 Kola Iyaomolere Street, Off Agbonyi Road, Ogudu"
Ameso Specialist Hospital,Lagos,Ogudu,"7 Jumat Olukoya Street, Ogudu, Ojota"
De-Vine Hospital,Lagos,Oregun,"8 Lawal Street, Off Oregun Bus Stop, Oregun"
Deji Clinic,Lagos,Ketu,"5 Doyin Omololu Street, Off Mr Biggs Junction, Alapere, Ketu"
Delta Crown Hospital & Maternity,Lagos,Ketu,"14 Ajayi Street, Ketu"
Theo Hospital,Lagos,Ketu,"25 Davies Street, Ketu"
Yombo Hospital & Maternity,Lagos,Ketu,"23 Oluyombo Street, Ikosi, Ketu"
Comfort Clinic & Maternity,Lagos,Ibafo,"3 Ganiyu Ayinla Street, Ibafo"
Beach Land Specialist Hospital,Lagos,Arepo,"16 Al-Firdaus Estate, Arepo"
Real Cure Hospital,Lagos,Mowe,"119 Mowe-Ofada Road, Mowe"
Broadland Hospital,Lagos,Magboro,"Along Gasline Magboro Road, Magboro"
Redeemers Healthcare,Lagos,Mowe,"RCCG Redemption Camp, Lagos-Ibadan Expressway, Mowe"
May Clinics,Lagos,Ilasamaja,"24/26 Sadiku Street, Ilasamaja"
Rivet Specialist Hospital,Lagos,Ilasamaja,"22 Adejumo Tennis Club Street, Ilasoma Area, Oke-Afa"
Mount Sinai Hospital Isolo,Lagos,Isolo,"32 Olanubi Street, Papa Ajao, Isolo"
High Rocks Hospital,Lagos,Oshodi,"38 Afariogun Street, Off Charity Bus Stop, Oshodi"
Geo-Medical Centre Ltd,Lagos,Sogunle,"12 Subairu Street, Ladipo Bus Stop, Sogunle"
Hillstar Hospital,Lagos,Mushin,"98 Palm Avenue, Mushin"
St. Raphael's Hospital,Lagos,Okota,"114 Lateef Adegboyega Street, Off Ago Okota Palace Way, Okota"
Kupa Medical Centre,Lagos,Ajao Estate,"6 Olabode Street, Ajao Estate"
Outreach Children's Hospital Okota,Lagos,Okota,"Cele Bus Stop, Isolo, Okota"
St. Emmanuel Hospital,Lagos,Isolo,"2 Bola Ademuyiwa Street, Behind Aswani Market, Isolo"
Mount Pisgah Hospital,Lagos,Egbe,"104 Isolo Road, Egbe"
Isolo General Hospital,Lagos,Isolo,"121 Mushin Road, Isolo"
Mount Sinai Hospital Egbe,Lagos,Egbe,"105 Isolo Road, Egbe"
Broad Hospital & Maternity,Lagos,Ikotun,"17 Fehintola Street, Off Isijola Street, Ikotun"
Westcare Specialist Hospital Ejigbo,Lagos,Ejigbo,"45 Omiyale Street, Falana, Iyana Ejigbo"
Subol Hospital,Lagos,Idimu,"17 Oba Amusa Avenue, Off Ikotun-Idimu Road, Idimu"
Alimosho General Hospital,Lagos,Igando,"LASU/Isheri Road, Igando"
St. Nicholas Hospital Lagos Island,Lagos,Lagos Island,"57 Campbell Street, Lagos Island"
The Health Arena Hospital,Lagos,Lagos Island,"12 Strachan Street, Off Igbosere Road, Lagos Island"
BMH Hospital,Lagos,Lagos Island,"48 Foresythe Street, Lagos Island"
Best Care Hospital,Lagos,Ikoyi,"2A Keffi Street, South West, Ikoyi"
Lagoon Hospital Ikoyi,Lagos,Ikoyi,"17B Bourdillon Road, Ikoyi"
Divine Medical Centre,Lagos,Ikoyi,"15 Norman Williams Street, S.W. Ikoyi"
Citizen Medical Centre Ikoyi,Lagos,Ikoyi,"86 Norman Williams Street, Ikoyi"
The Roding Medical Centre,Lagos,Victoria Island,"29B Olabode George Street, Off Ajose Adeogun Street, Victoria Island"
Healing Stripes Hospital,Lagos,Victoria Island,"6B Prince Alaba Oniru, Opposite Four Points by Sheraton, Oniru Estate"
Naval Dockyard Medical Centre,Lagos,Victoria Island,"Wilmot Point, Ahmadu Bello Way, Victoria Island"
The Victoria Island Consultancy and Hospital Services Ltd,Lagos,Victoria Island,"3B Fabac Close, Off Ligali Ayorinde Close, Victoria Island"
Germaine Medical Centre,Lagos,Lekki,"Km 63 Lagos-Epe Expressway, Lekki"
Udeco Medical Centre,Lagos,Lekki,"Plot 39 Udeco Medical Road, Off Chevron Drive, Lekki"
Primefort Hospital,Lagos,Lekki,"35C Ajiran Road, Agungi, Lekki Peninsula"
First City Hospital,Lagos,Lekki,"17 Bamidele Eletu Road, Osapa, Lekki Peninsula"
Louis Med Hospital,Lagos,Lekki,"Plot 8, Block 91, Iron Bar Street, Off Providence Street, Lekki Phase 1"
Vedic Lifecare Hospital,Lagos,Lekki,"Block No 105, Plot 6, Olabanji Olajide Street, Lekki Phase 1"
The Royal Infirmary Hospital,Lagos,Ajah,"Along Badore Road, Lekki-Ajah Road"
St Edwards Specialist Hospital,Lagos,Ajah,"4 Dolapo Oshibaike Street, Off S-Fort Estate, Off Addo Road, Ajah"
Doren Specialist Hospital,Lagos,Ajah,"1 Kemfat Road, Thomas Village, Ajah"
JJANED Specialist Hospitals,Lagos,Lekki,"3 Nwakobi Street, Beside Lekki Gardens Phase 2, Lekki"
Lennox Medical Centre,Lagos,Ajah,"7 Floodgate Street, Olokonla, After Lagos Business School, Ajah"
First Graceland Hospitals,Lagos,Ibeju Lekki,"Km 43 Lekki-Epe Expressway, Abijoh-Ajah, Ibeju Lekki"
Epe General Hospital,Lagos,Epe,"Hospital Road, Epe"
Truecare Model Hospital,Lagos,Epe,"19 Apena Street, Papa, Epe"
Kiladejo Hospital & Specialist Clinics,Lagos,Okokomaiko,"15 PPL Road, Opp. New Police Station, Badagry Expressway, Okokomaiko"
Elphy Hospital,Lagos,Okokomaiko,"6 Taskforce Road, PPL Bus Stop, Okokomaiko"
Grace-Land Medical Center,Lagos,Iba,"Km5 LASU Isheri Express Road, Opposite Jakande, Iba Estate"
The Great Physician Hospital,Lagos,Badagry,"3 Niyi Adebule Street, New Nepa, Badagry"
Ademola Hospital,Lagos,Ijankin,"Kilometre 28, Cele Bus Stop, Lagos-Badagry Expressway, Ijankin"
May Hospital,Lagos,Ilupeju,"20 Sura Mogaji Street, Ilupeju"
Ultima Medicare Hospital,Lagos,Palm Grove,"3 Cappa Avenue, Palm Grove Estate"
Osuntuyi Medical Centre Obanikoro,Lagos,Obanikoro,"9 Alhaji Salisu Street, Off Babs Kazeem Street, Obanikoro"
Eko Hospital Surulere,Lagos,Surulere,"24 Akerele Street, Surulere"
Olaniba Memorial Hospital,Lagos,Surulere,"10A Olatunde Onimole Street, Aguda, Surulere"
Smith Medical Centre,Lagos,Surulere,"8 Afric Road, Off Funsho Williams Avenue, Olaleye Estate, Iponri, Surulere"
Mount Sinai Hospital Surulere,Lagos,Surulere,"32 Falolu Street, Surulere"
Mercy Thomas Oredugba Hospital,Lagos,Surulere,"8 Mogaji Street, By Enitan Street, Aguda, Surulere"
Randle General Hospital,Lagos,Surulere,"68 Randle Avenue, Surulere"
Newgate Hospital Ltd Ikorodu,Lagos,Ikorodu,"59 Lagos Road, Ikorodu"
Bolakunmi-Idowu Memorial Centre,Lagos,Ikorodu,"5 Segun Ishola Street, Off Femi Olasanoye Road, Owutu, Ikorodu"
Ikorodu Hospital & Clinic,Lagos,Ikorodu,"9 Muinat Aleje Street, By Afribank, Ikorodu"
Oak Hospital,Lagos,Ikorodu,"197 Lagos Road, Ikorodu"
Holyfill Hospital,Lagos,Ikorodu,"1 Onafowokan Street, Off Agric, Ikorodu"
Mcred Hospital,Lagos,Ikorodu,"5 Camik Street, Off Saka Jojo Street, Odongunyan, Ikorodu"
General Hospital Ikorodu,Lagos,Ikorodu,"TOS Benson Road, Ebute, Ikorodu"
Bidems Victory Hospital & Diagnostic Centre,Lagos,Ikorodu,"Simco Ummemekwu Street, Off Isawo Road, Agric, Ikorodu"
Sauki Hospital,Nasarawa,Lafia,"51 Shendam Street, Lafia"
Kowa Hospital,Nasarawa,Lafia,"Jos Road, Lafia"
Adonai Hospital,Nasarawa,Mararaba,"Adonai Close, Km 10, Keffi Road, Mararaba"
Kings Care Hospital Mararaba,Nasarawa,Mararaba,"2 King's Care Crescent, Beside Royal Dream Hotel, Mararaba"
Nagari Allah Magani Hospital,Nasarawa,Keffi,"Behind Chief Magistrate Court, Keffi"
Shukura Medical Centre,Nasarawa,Keffi,"Keffi-Abuja Road, Keffi"
Royal Hospital Akwanga,Nasarawa,Akwanga,"Keffi-Abuja Road, Behind Gwaza Hotel, Akwanga"
Our Lady Of Apostle Hospital Akwanga,Nasarawa,Akwanga,"Akwanga, Nasarawa State"
OLA Hospital,Nasarawa,Akwanga,"Akwanga, Nasarawa State"
Top Medical Clinic & Maternity,Niger,Minna,"Off Paiko Road, Tunga, Minna"
General Hospital Minna,Niger,Minna,"Hospital Road, Minna"
Faith Medical Clinic,Niger,Minna,"Tunga Low Cost, Minna"
Masol Hospital & Maternity,Niger,Minna,"Off Our Lady Of Fatima Church, Nteco Road, Tunga, Minna"
Bay Clinic,Niger,Minna,"Plot 33, Bay Clinic Road, Tunga, Minna"
Unity Clinic,Niger,Minna,"Bida Road, Kpakungu, Minna"
Standard Clinic,Niger,Minna,"Old Airport Quarters, Minna"
Liberty Hospital,Niger,Suleja,"Opp. First Bank, Minna Road, Suleja"
Citizen Hospital,Niger,Suleja,"Low Cost, Off Suleiman Barau Road, Suleja"
Maraba Hospital,Niger,Suleja,"Maganda, Off Suleiman Barau Road, Suleja"
General Hospital Suleja,Niger,Suleja,"Suleja, Niger State"
Susan Memorial Hospital,Niger,Suleja,"Uphill Suleja, Near Suleja Club, GRA"
Delight Hospital,Niger,Suleja,"Suleja, Niger State"
MayDay Hospital & Maternity,Niger,Mararaba,"Esu Karu Road, Opposite Polaris Bank, Mararaba"
Al-Azeez Medical Centre,Niger,Kontagora,"Kontagora, Niger State"
Maraba Hospital Bida,Niger,Bida,"Bida, Niger State"
General Hospital Kagara,Niger,Kagara,"Kagara, Niger State"
Beachland Specialist Hospital Arepo,Ogun,Arepo,"Plot 16, Al-Firdaus Estate, Arepo"
Overcomer Specialist Hospital,Ogun,Ilisan,"Town Planning New Koregun, Behind Maouka Foam, Ilisan"
Mercy Group Hospital,Ogun,Abeokuta,"Behind UBA Building, Panseke, Abeokuta"
Federal Medical Centre Abeokuta,Ogun,Abeokuta,"Olabisi Onabanjo Way, Idi-Aba, Abeokuta"
First Alpha Medical Centre,Ogun,Abeokuta,"Kuforiji-Olubi Drive, Adigbe, Abeokuta"
God's Hope Hospital,Ogun,Abeokuta,"Adigbe, Abeokuta"
Itunu Hospital,Ogun,Abeokuta,"Bola Tinubu Street, Ita-Eko, Abeokuta"
Shalom Hospital and Maternity Home,Ogun,Abeokuta,"No 7 Ilugun Road, Mokola, Abeokuta"
Bode-Olude Hospital,Ogun,Abeokuta,"Bode Olude Street, Elega, Abeokuta"
Ace Medicare Clinic,Ogun,Sango/Ota,"Km 4, Idi-Iroko Road, Sango Ota"
Hetta Medical Centre,Ogun,Sango/Ota,"15 Matina Road, Sango Ota"
Promise Medical Centre Sango,Ogun,Sango/Ota,"19 Plaza Road, Sango-Ota"
Sure Mercy Hospital,Ogun,Ota,"1 Anuoluwapo Street, Coca-Cola Road, Oju-Ore, Ota"
Ariset Medical Centre Sango,Ogun,Sango/Ota,"5 Anu Oluwapo Street, Behind Sango-Ota"
Ariset Medical Centre Atan,Ogun,Ota,"Behind Goro Market, Atan, Ota"
Hosanna Specialist Hospital,Ogun,Ilaro,"Oja Odan Road, Ilaro"
Rophe Hospital,Ogun,Agbara,"23 Anambra Crescent, Agbara Estate"
Medytop Specialist Hospital,Ogun,Sagamu,"3 Ejimo Alebiosu Street, Off Ojumele Junction, Sagamu"
Ayotola Specialist Hospital,Ogun,Sagamu,"2 Suraju Odunuga Street, Off Baruwa Street, Sagamu"
Skylark Hospital,Ogun,Sagamu,"11/13 Skylark Road, Off Agura, Sagamu"
Femtob Specialist Hospital,Ogun,Ijebu Ode,"5 Obileye Street, GRA, Ijebu Ode"
Jesus is Love & Power Hospital,Ogun,Ifo,"P.O.Box 75, Alaja, Ifo"
St. John & Mary Hospital,Ondo,Akure,"100 Oshabi Street, Akure"
Joe Jane Medical Centre,Ondo,Akure,"Okejebu Road, Ijapo Estate, Akure"
Arif Medical Centre,Ondo,Ore,"Sabo Main Market, Ore"
Babalola Medical Centre,Ondo,Ondo,"21 Hospital Road, Ondo"
Wole Ayo Hospital Ltd,Ondo,Ondo,"1 Olorunsogo Street, Off Brigadier Ademulegun Road, Ondo"
Onward Specialist Hospital,Osun,Oshogbo,"P.O.Box 506, Iwo Road, Okefia, Oshogbo"
Anu Olu Hospital,Osun,Ede,"Agip Area, Ede"
Adenle Hospital,Osun,Ilesa,"7 Oke Ayeso Street, Ilesa"
Seventh Day Adventist Hospital,Osun,Ile-Ife,"Ile-Ife, Osun State"
Living Hope Hospital Ile-Ife,Osun,Ile-Ife,"Ile-Ife, Osun State"
Oke-Ola Catholic Hospital,Osun,Ikire,"Ikire, Osun State"
Ibukun Olu Hospital,Osun,Ikirun,"Oba Agun, Ikirun"
KLM Hospital,Osun,Iwo,"Iwo, Osun State"
Our Lady of Lourdes Catholic Hospital,Osun,Ipetumodu,"Padre, Ipetumodu"
Olanrewaju Hospital Okuku,Osun,Okuku,"Okuku, Osun State"
Lafia Group of Hospital,Oyo,Ibadan,"Behind Standard Trust Bank, NNPC Area, Abimbola Estate, Apata, Ibadan"
Teju Specialist Hospital,Oyo,Ibadan,"8 Alhaji Animashaun Street, Ring Road, Ibadan"
Continental Hospital,Oyo,Ibadan,"Ibadan, Oyo State"
Comfort Medical Centre,Oyo,Ibadan,"3 Lakanmi Close, Total Garden, Off Ring Road, Ibadan"
Lad Medical Center,Oyo,Ibadan,"Orita Challenge, Ibadan"
Alafia Hospital,Oyo,Ibadan,"72 Adekunle Fajuyi Road, Adamasingba, Ibadan"
Medical Practitioner Services Limited,Oyo,Ibadan,"Mokola Junction, Ibadan"
Mobolaji Group Of Hospitals,Oyo,Ibadan,"43B Obafemi Awolowo Way, Opp. Spring Bank, Oke Bola, Dugbe, Ibadan"
J-Rapha Hospital & Maternity Ltd,Oyo,Ibadan,"6 Aare Avenue, New Bodija, Ibadan"
Molly Specialist Hospital,Oyo,Ibadan,"6 America Quarters, Yidi, Ibadan"
Adeoto Memorial Hospital,Oyo,Ibadan,"Popo Bus Stop, Akobo Ojurin Road, Akobo, Ibadan"
Toun Memorial Specialist Hospital,Oyo,Ibadan,"Km 1-2 New Life Road, Ibadan"
The Vine Hospital & Maternity,Oyo,Ibadan,"Plot 10, Block 24, Alaafin Avenue, Oloyole Extension, Ibadan"
Baptist Cottage Hospital,Oyo,Ibadan,"Omi Adio, Ibadan"
Samron Specialist Hospital,Oyo,Ibadan,"Joyce B Road, Ibadan"
Mobolaji Hospital,Oyo,Ibadan,"Oke-Bola, Ibadan"
Gold Cross Medical Clinic,Oyo,Ibadan,"Yemetu, Ibadan"
Highland Specialist,Oyo,Ibadan,"Yemetu, Ibadan"
Unity Medical Centre Eleyele,Oyo,Ibadan,"Eleyele, Ibadan"
Chrisbo Medical Centre,Oyo,Ibadan,"Akobo, Ibadan"
St Joseph Medical Centre Ekotedo,Oyo,Ibadan,"Ekotedo, Ibadan"
Christ Hope Hospital,Oyo,Ibadan,"Moniya, Ibadan"
Idi Ape Medical Centre,Oyo,Ibadan,"Plot 295, Afolabi Layout, Ikolaba Area, Idi Ape, Ibadan"
Abraham and Maria Hospital,Oyo,Ibadan,"Apete, Ibadan"
St. Macrina Hospital,Oyo,Ibadan,"Molete, Ibadan"
Ayokemi Hospital,Oyo,Ibadan,"Iwo Road, Ibadan"
Divine Hospital Monatan,Oyo,Ibadan,"Monatan, Iwo Road, Ibadan"
Pauline Canadian Hospital,Oyo,Ibadan,"Eleyele, Ibadan"
God's Knot Hospital,Oyo,Ibadan,"Ologuneru, Ibadan"
Foremost Base Hospital,Oyo,Ibadan,"Leventis Area, Ibadan"
The Pizzazz Hospital,Oyo,Ibadan,"Lagos By-Pass, Ibadan"
Kingsway International Hospital,Oyo,Ibadan,"Adenuga Street, Kongi, Bodija, Ibadan"
Our Lady Catholic Hospital Iseyin,Oyo,Iseyin,"Irawote Street, Iseyin Town, Iseyin"
Peamark Hospital,Oyo,Oyo Town,"Alalubosa Area, Oyo"
Shalom Medical Care,Oyo,Ogbomoso,"Anglican Grammar School Area, Sabo, Ogbomoso"
St. Martins Hospital,Rivers,Port Harcourt,"28B Flamingo Avenue, Off Arochukwu Street, Rumuomasi, Port Harcourt"
Cova Care Specialist Hospital,Rivers,Port Harcourt,"8 Main Street, Farm Road 2, Eliozu, Port Harcourt"
Save A Life Mission Hospital,Rivers,Port Harcourt,"38 Uyo Street, Off Stadium Road, Port Harcourt"
Eli-Johnson Specialist Hospital,Rivers,Port Harcourt,"13 Bori Road, Rumuibekwe Housing Estate, Port Harcourt"
Paragon Clinic & Imaging,Rivers,Port Harcourt,"No 69 Stadium Road, Port Harcourt"
Success Life Specialist Hospital,Rivers,Port Harcourt,"House 5, Close D, 3rd Avenue, Federal Housing Estate, Agip, Port Harcourt"
Kendox Medical Services,Rivers,Port Harcourt,"No 7 Moses Chinda Avenue, Off 194 Elelenwo, Port Harcourt"
Pamo Clinic & Hospitals Ltd,Rivers,Port Harcourt,"300 Aba Road, Port Harcourt"
Adanta Children's Hospital,Rivers,Port Harcourt,"44 Evo Road, GRA 2, Port Harcourt"
Queen's Hospital,Rivers,Port Harcourt,"Iwofe Road, Off Wimpey Junction, Mile 4, Port Harcourt"
Lifecare Clinic Diobu,Rivers,Port Harcourt,"3 Azikwe Street, Waterline Junction, Ikoku Bus Stop, Diobu, Port Harcourt"
Lifecare Clinic Iriebe,Rivers,Port Harcourt,"By TAP, Railer Park Bus Stop, Iriebe, Port Harcourt"
Garrison Clinic,Rivers,Port Harcourt,"10 Udom Street, By Hotel Chez Therese, Port Harcourt"
NOBSAMS Hospital,Rivers,Port Harcourt,"44 Trans Amadi Road, Oginigba, Port Harcourt"
Princess Medical Centre,Rivers,Port Harcourt,"7 National Supply Road, BEWAC Junction, Trans Amadi Industrial Layout, Port Harcourt"
Sophilke Medical Centre,Rivers,Port Harcourt,"Plot 9 Road 7, Off Peter Odili Road, Port Harcourt"
Castle Clinic,Rivers,Port Harcourt,"7B Shell Location Road, Rumuodalu, Off 42 Rumuola Road, Port Harcourt"
Noxford Hospital,Rivers,Port Harcourt,"Plot 96 Tom Ino-Tariah Avenue, Rumuogba Estate, Port Harcourt"
Seiyefa Clinic,Rivers,Port Harcourt,"11 Harold Wilson Drive, Borokiri, Port Harcourt"
Maryland Healthcare Hospital,Rivers,Port Harcourt,"300 Aba Expressway, Rumuomasi, Port Harcourt"
Ofure Specialist Hospital,Rivers,Port Harcourt,"Plot 65 Okporo Road, Rumuogba, Port Harcourt"
New Mile One Hospital,Rivers,Port Harcourt,"15 Emenike Street, Mile One Diobu, Port Harcourt"
Hilton Clinic,Rivers,Port Harcourt,"2 Ejekwu Wike Close, Off Ada George, Port Harcourt"
Acron Medical Consultant,Rivers,Port Harcourt,"1 Acron Avenue, Behind Graceland Secondary School, Stadium Road, Port Harcourt"
Nedal Specialist Clinic,Rivers,Port Harcourt,"Rumuosi Akpor, Behind Rumuosi Goat Market, Along East West Road, Port Harcourt"
Springrose Hospital,Rivers,Port Harcourt,"22 Rumuagholu Road, Port Harcourt"
Ultimate Specialist Hospital,Rivers,Port Harcourt,"Okuru Abuloma, Opposite Golf, Port Harcourt"
Ranez Medical Consultant,Rivers,Port Harcourt,"18B Jessy and Jenny Road, Off Peter Odili Road, Port Harcourt"
Pearl Clinic,Rivers,Port Harcourt,"4 Manilla-Pepple Street, D/Line, Port Harcourt"
Atlantic Medical Centre,Rivers,Port Harcourt,"76C Emekuku Street, D/Line, Port Harcourt"
Cumi Medical Centre,Rivers,Port Harcourt,"2 Lift Up Close, Obio Akpor, Woji, Port Harcourt"
The Shield Specialist Hospital,Rivers,Port Harcourt,"Plot 4, Close B, Peace Valley Estate, Woji, Port Harcourt"
Phoenix Hospital,Rivers,Port Harcourt,"Artillery, Port Harcourt"
Noble Medical Consultants & Fertility Hospital,Rivers,Port Harcourt,"No 1 Bloombreed School Road, Mgbuoba, by NTA, Port Harcourt"
Queen of Peace Hospital & Maternity,Rivers,Port Harcourt,"No 2 Nihi Street, Sunlight Estate, Umuebule, Port Harcourt"
Raziela Specialist Clinic,Rivers,Port Harcourt,"7 Williams Ajikere Street, Off Rumuola Link Road, Port Harcourt"
Lifecare Clinic Oyigbo,Rivers,Oyigbo,"Afam Power Station, Oyigbo, Port Harcourt"
Divine Grace Hospital,Rivers,Oyigbo,"65B PH/Aba Expressway, Umuebule, Oyigbo, Port Harcourt"
Gbeye Hospital & Maternity,Rivers,Omoku,"17 Ahoada Road, Omoku, Rivers State"
St. Peter's Hospital,Rivers,Bonny,"7 King Jaja Street, Bonny Island"
Channel Clinic & Hospital Ltd,Rivers,Bonny,"10 Hospital Road, Bonny"
St Charles Clinic,Rivers,Bonny,"Opp Navy Base Akiama, Bonny"
Sokoto Clinic,Sokoto,Sokoto,"Abdullahi Fodio Road, Sokoto"
Lafiya Clinic & Health Services,Sokoto,Sokoto,"6 Garba Duba Road, Sokoto"
Federal Medical Centre Jalingo,Taraba,Jalingo,"Jalingo, Taraba State"
Courage Hospital,Taraba,Jalingo,"Jalingo, Taraba State"
Sauki Clinic & Hospital Ltd,Plateau,Jos,"1 Joseph Gomwalk Road, Jos"
347 Nigeria Airforce Hospital,Plateau,Jos,"NAF Station, Jos"
Pulera Medical Centre,Plateau,Barkin-Ladi,"Barkin-Ladi, Plateau State"
Helpang Medical Centre,Plateau,Barkin-Ladi,"Barkin-Ladi, Plateau State"
Nissi Dominu Hospital,Plateau,Mangu,"Mangu, Plateau State"
M & B Hospital,Plateau,Bukuru,"Kungiya Road, Bukuru, Plateau State"
Solat Women Hospital,Plateau,Jos,"4A Kashim Ibrahim Street, Jos"
Kauna Hospital,Plateau,Jos,"35 Ahmadu Bello Way, By Rwang Pam Street, Jos"
Our Lady of Apostles Hospital,Plateau,Jos,"1 Zaria Bye-Pass, Jos"
Ajiko Medical Centre,Yobe,Damaturu,"Gashua Road, Damaturu"
Bade Medical Centre,Yobe,Gashua,"Gashua, Yobe State"
Federal Medical Centre Nguru,Yobe,Nguru,"Nguru, Yobe State"
Salisu Memorial Hospital,Yobe,Nguru,"Nguru, Yobe State"
General Hospital Geidam,Yobe,Geidam,"Geidam, Yobe State"
Poly Medical & Diagnostic Centre,Zamfara,Gusau,"Mortgage Area, Gusau, Zamfara"
Daula Hospital,Zamfara,Gusau,"Gusau, Zamfara State"
Niima Clinic,Zamfara,Kaura Namoda,"Kaura Namoda, Zamfara State"
